timestamp,collection_timestamp,raw_timestamp,session_id,attack_id,waveform_kind,waveform_frequency_hz,waveform_amplitude_frac,waveform_duty_cycle,gpu_id,sample_hz,power_w,util_gpu_pct,mem_copy_util_pct,sm_clock_mhz,temp_c,fb_used_mb,requested_interval_ms,actual_interval_ms,value_changed,pid,process_name,id_user,job_type,gres_req,label
0.0,2026-01-01 00:00:00+00:00,,syn-normal-ddp-101,syn-normal-ddp-101,,,,,0,10.0,199.66048503846238,83.33028482332814,42.671046652978426,2342.1573858135202,51.13239843790151,3360.2097207987695,100.0,100.0,True,,synthetic_normal_distributed_training,sim_user,normal_distributed_training,gpu:2,normal_distributed_training
0.1,2026-01-01 00:00:00.100000+00:00,,syn-normal-ddp-101,syn-normal-ddp-101,,,,,0,10.0,203.1013723702681,90.88051271371033,41.8457800652132,2447.8035713605323,53.566877627140634,3299.048807781478,100.0,100.0,True,,synthetic_normal_distributed_training,sim_user,normal_distributed_training,gpu:2,normal_distributed_training
0.2,2026-01-01 00:00:00.200000+00:00,,syn-normal-ddp-101,syn-normal-ddp-101,,,,,0,10.0,206.84863226786314,89.2951963754703,51.52556499420772,2435.4200747498694,53.14084562052108,3944.888466377015,100.0,100.0,True,,synthetic_normal_distributed_training,sim_user,normal_distributed_training,gpu:2,normal_distributed_training
0.3,2026-01-01 00:00:00.300000+00:00,,syn-normal-ddp-101,syn-normal-ddp-101,,,,,0,10.0,209.31416316466706,90.8475726448691,52.943343074197664,2386.811947364784,53.61195630221799,4048.2908976552703,100.0,100.0,True,,synthetic_normal_distributed_training,sim_user,normal_distributed_training,gpu:2,normal_distributed_training
0.4,2026-01-01 00:00:00.400000+00:00,,syn-normal-ddp-101,syn-normal-ddp-101,,,,,0,10.0,206.3904626510067,96.0831277103693,51.60697304123803,2520.0,54.7906719809268,3946.2709201768766,100.0,100.0,True,,synthetic_normal_distributed_training,sim_user,normal_distributed_training,gpu:2,normal_distributed_training
0.5,2026-01-01 00:00:00.500000+00:00,,syn-normal-ddp-101,syn-normal-ddp-101,,,,,0,10.0,211.94333456295405,92.5229071962295,52.35688444970839,2520.0,53.804405607628226,4121.090730091842,100.0,100.0,True,,synthetic_normal_distributed_training,sim_user,normal_distributed_training,gpu:2,normal_distributed_training
0.6,2026-01-01 00:00:00.600000+00:00,,syn-normal-ddp-101,syn-normal-ddp-101,,,,,0,10.0,212.20639383938624,90.19988533707563,56.45151410130218,2502.951944603299,53.079422717057675,4434.513887696601,100.0,100.0,True,,synthetic_normal_distributed_training,sim_user,normal_distributed_training,gpu:2,normal_distributed_training
0.7,2026-01-01 00:00:00.700000+00:00,,syn-normal-ddp-101,syn-normal-ddp-101,,,,,0,10.0,214.39943397180681,98.61228131252521,58.479946082152125,2520.0,55.34330815374128,4404.263293409344,100.0,100.0,True,,synthetic_normal_distributed_training,sim_user,normal_distributed_training,gpu:2,normal_distributed_training
0.8,2026-01-01 00:00:00.800000+00:00,,syn-normal-ddp-101,syn-normal-ddp-101,,,,,0,10.0,212.4927196368821,89.88767863160568,52.26877933060743,2434.552011400558,52.77401143499075,4255.248231323752,100.0,100.0,True,,synthetic_normal_distributed_training,sim_user,normal_distributed_training,gpu:2,normal_distributed_training
0.9,2026-01-01 00:00:00.900000+00:00,,syn-normal-ddp-101,syn-normal-ddp-101,,,,,0,10.0,208.03899527036566,96.89864750345559,56.04525368092236,2520.0,54.991684479256364,4455.47460231209,100.0,100.0,True,,synthetic_normal_distributed_training,sim_user,normal_distributed_training,gpu:2,normal_distributed_training
1.0,2026-01-01 00:00:01+00:00,,syn-normal-ddp-101,syn-normal-ddp-101,,,,,0,10.0,204.87291078982568,89.32586290481332,45.67495478263789,2468.00666610977,52.77521677761269,3627.424319413928,100.0,100.0,True,,synthetic_normal_distributed_training,sim_user,normal_distributed_training,gpu:2,normal_distributed_training
1.1,2026-01-01 00:00:01.100000+00:00,,syn-normal-ddp-101,syn-normal-ddp-101,,,,,0,10.0,205.48508872333747,94.41580508037848,55.784759720902414,2520.0,54.08817033626815,4295.877812996245,100.0,100.0,True,,synthetic_normal_distributed_training,sim_user,normal_distributed_training,gpu:2,normal_distributed_training
1.2,2026-01-01 00:00:01.200000+00:00,,syn-normal-ddp-101,syn-normal-ddp-101,,,,,0,10.0,202.79402064263107,87.36129148042117,41.45485905153217,2422.091439064531,52.350039575763894,3322.3066340777996,100.0,100.0,True,,synthetic_normal_distributed_training,sim_user,normal_distributed_training,gpu:2,normal_distributed_training
1.3,2026-01-01 00:00:01.300000+00:00,,syn-normal-ddp-101,syn-normal-ddp-101,,,,,0,10.0,201.82944436573882,81.52084491849467,43.508097454097424,2195.1093744630716,50.86712811394192,3443.829367854348,100.0,100.0,True,,synthetic_normal_distributed_training,sim_user,normal_distributed_training,gpu:2,normal_distributed_training
1.4,2026-01-01 00:00:01.400000+00:00,,syn-normal-ddp-101,syn-normal-ddp-101,,,,,0,10.0,201.7184687826043,72.34306760780709,38.03951182055745,2013.7630276573068,48.29785040729193,2917.110290616164,100.0,100.0,True,,synthetic_normal_distributed_training,sim_user,normal_distributed_training,gpu:2,normal_distributed_training
1.5,2026-01-01 00:00:01.500000+00:00,,syn-normal-ddp-101,syn-normal-ddp-101,,,,,0,10.0,206.67263893513305,85.53563833572515,40.1305262612648,2315.172944075838,52.04362220555272,3298.4670288562756,100.0,100.0,True,,synthetic_normal_distributed_training,sim_user,normal_distributed_training,gpu:2,normal_distributed_training
1.6,2026-01-01 00:00:01.600000+00:00,,syn-normal-ddp-101,syn-normal-ddp-101,,,,,0,10.0,210.73276245123733,98.78297303136705,53.88927961924607,2520.0,55.69819003914622,4159.464700888535,100.0,100.0,True,,synthetic_normal_distributed_training,sim_user,normal_distributed_training,gpu:2,normal_distributed_training
1.7,2026-01-01 00:00:01.700000+00:00,,syn-normal-ddp-101,syn-normal-ddp-101,,,,,0,10.0,213.92338508623416,93.050570743877,57.75163421566996,2520.0,54.25563936915819,4543.615984779803,100.0,100.0,True,,synthetic_normal_distributed_training,sim_user,normal_distributed_training,gpu:2,normal_distributed_training
1.8,2026-01-01 00:00:01.800000+00:00,,syn-normal-ddp-101,syn-normal-ddp-101,,,,,0,10.0,215.1070323120561,100.0,53.63949064949955,2520.0,56.40450460451445,4306.997486926957,100.0,100.0,True,,synthetic_normal_distributed_training,sim_user,normal_distributed_training,gpu:2,normal_distributed_training
1.9,2026-01-01 00:00:01.900000+00:00,,syn-normal-ddp-101,syn-normal-ddp-101,,,,,0,10.0,213.01800003606797,100.0,50.16958663896266,2520.0,56.33798937031655,3926.5370969181813,100.0,100.0,True,,synthetic_normal_distributed_training,sim_user,normal_distributed_training,gpu:2,normal_distributed_training
2.0,2026-01-01 00:00:02+00:00,,syn-normal-ddp-101,syn-normal-ddp-101,,,,,0,10.0,209.48982325983033,83.82815666135959,45.741271289722036,2290.085745725062,51.8339280009993,3652.455126012223,100.0,100.0,True,,synthetic_normal_distributed_training,sim_user,normal_distributed_training,gpu:2,normal_distributed_training
2.1,2026-01-01 00:00:02.100000+00:00,,syn-normal-ddp-101,syn-normal-ddp-101,,,,,0,10.0,207.86537848089614,88.80447946657297,52.25816097261909,2331.9457089106318,53.26599055984595,4158.282185252825,100.0,100.0,True,,synthetic_normal_distributed_training,sim_user,normal_distributed_training,gpu:2,normal_distributed_training
2.2,2026-01-01 00:00:02.200000+00:00,,syn-normal-ddp-101,syn-normal-ddp-101,,,,,0,10.0,204.73804319629787,87.90899087123532,49.12281744178096,2431.931288401885,52.78477973545515,3878.34395069668,100.0,100.0,True,,synthetic_normal_distributed_training,sim_user,normal_distributed_training,gpu:2,normal_distributed_training
2.3,2026-01-01 00:00:02.300000+00:00,,syn-normal-ddp-101,syn-normal-ddp-101,,,,,0,10.0,203.15043309282436,94.64183930529187,52.04234875205784,2520.0,54.92890147085829,4080.0055313062635,100.0,100.0,True,,synthetic_normal_distributed_training,sim_user,normal_distributed_training,gpu:2,normal_distributed_training
